turn_index,timestamp,sender,text,joy,warmth,sadness,anger,anxiety,surprise,neutral
0,2026-05-19T02:02:23,Эвелина,хочу тикток удалить,0.009242169167459987,0.022147017533165263,0.055297993629095085,0.20980030671107563,0.011392123122839548,0.023726852354219514,0.668393537482145
1,2026-05-19T02:02:29,Эвелина,и прочий мусор,0.01122111344783595,0.004382113401611401,0.0860788381825705,0.35887172512370624,0.01503853785147327,0.010106893181231601,0.514300778811571
2,2026-05-19T02:02:53,Миша,флдвао,0.031303169308994815,0.0032303514269746043,0.0061335720033635485,0.023224141075501286,0.002004938655841449,0.010279173001801678,0.9238246545275225
3,2026-05-19T02:02:55,Эвелина,мешает привычка дурацкая,0.03500449762086883,0.0027132454295060713,0.04549399052832386,0.713397797684395,0.013565076143454,0.011342694491653205,0.17848269810179893
4,2026-05-19T02:03:06,Миша,хочу госы сдать на отл),0.8709570522008838,0.006549204120324177,0.004936844894276922,0.00805653067051254,0.0010281355941608073,0.013921184292017273,0.09455104822782433
5,2026-05-19T02:03:14,Эвелина,ня,0.015043216454491635,0.0038460806915426933,0.011762218740388948,0.11229448995419607,0.0022322355596924495,0.014221205013613727,0.8406005535860746
6,2026-05-19T02:03:22,Миша,и с ребятами пойти,0.046339869861354605,0.008210425895987495,0.004906559075255269,0.01825933934152494,0.0018051605737744595,0.010802764903905821,0.9096758803481974
7,2026-05-19T02:03:24,Миша,хз,0.21390193079942552,0.002292053476360319,0.011932321553322606,0.11171512063600299,0.003917313871300723,0.2501123500227336,0.4061289096408542
8,2026-05-19T02:03:33,Миша,какая,0.10762814976490284,0.0032251084770469726,0.008666215008030336,0.06988805846171779,0.002879911955208425,0.3455359012807258,0.4621766550523679
9,2026-05-19T02:03:33,Эвелина,сдашь пойдешь,0.014839249469401222,0.012338071584268412,0.011174501176879372,0.11032196212704223,0.0022770044486557623,0.022847768374277076,0.8262014428194758
10,2026-05-19T02:03:37,Миша,с огоньком?,0.017605399965181835,0.005266856219646568,0.003776811052566552,0.025424427686577083,0.004638273074791139,0.5427556269734933,0.40053260502774335
11,2026-05-19T02:03:44,Эвелина,залипать во что-то,0.015333347272767755,0.005435851231034558,0.011637641589232684,0.07116628176205086,0.004181656298783935,0.018014265321888243,0.8742309565242419
12,2026-05-19T02:04:40,Миша,хм,0.0630356903637838,0.0031945967903155292,0.004927365231307417,0.02940666786035709,0.0013166037849960054,0.010662346685266553,0.8874567292839737
13,2026-05-19T02:04:45,Миша,может мне тоже поставить..,0.09573988240618765,0.0073990229444035865,0.006198853540055855,0.015317596035104599,0.0027944172616430167,0.07072720170585718,0.801823026106748
14,2026-05-19T02:05:23,Эвелина,ахахах,0.8630882268305498,0.005599750763065516,0.010104499378734661,0.009874292590239527,0.002617459666665865,0.01419395476854102,0.09452181600220387
15,2026-05-19T02:05:43,Эвелина,норм ава,0.08381227006480722,0.0019975331147667774,0.0031187430116690045,0.022555074674785996,0.0014162881577487085,0.023468194257495537,0.8636318967187268
16,2026-05-19T02:05:50,Эвелина,свээг,0.013204036490734606,0.007319921567009146,0.0023012896188690382,0.021604824633207478,0.002639363271086575,0.017954528308061074,0.9349760361110321
17,2026-05-19T02:06:10,Миша,хз,0.21390193079942552,0.002292053476360319,0.011932321553322606,0.11171512063600299,0.003917313871300723,0.2501123500227336,0.4061289096408542
18,2026-05-19T02:06:15,Миша,норм разобрал,0.027793412736652895,0.0020955490647448787,0.04566734612689798,0.10522834548037431,0.0041105680663670345,0.05282451912007605,0.7622802594048869
19,2026-05-19T02:06:17,Миша,3 билета кста,0.03278742751679385,0.0033486333426151686,0.006036632848811821,0.009617078902794264,0.0026065149874260423,0.014394232112722253,0.9312094802888367
20,2026-05-19T02:06:19,Миша,из 25,0.022561804868919975,0.0031234821538882996,0.003872149302506259,0.008247482469942257,0.002297648448412134,0.015546154855172712,0.9443512779011584
21,2026-05-19T02:06:22,Миша,ну и это не фул,0.027655760263533325,0.0034718109554414778,0.020113912332118608,0.5798388889468721,0.00302764972699478,0.02478082327111259,0.34111115450392704
22,2026-05-19T02:06:24,Миша,это норм,0.34887807621118755,0.00665884810357713,0.004456539712832212,0.05632681477504757,0.0018329527517921133,0.020081002664996038,0.5617657657805675
23,2026-05-19T02:06:27,Миша,8 просмотрел,0.040330088480390054,0.003370756929648984,0.0063059436034120725,0.008452856252612516,0.002312880389569373,0.032421937576711836,0.9068055367676553
24,2026-05-19T02:06:38,Эвелина,большие билеты?,0.03606344610242528,0.009154933915844694,0.002998482183242337,0.015026661676921672,0.0028948002671047722,0.5807461128539658,0.35311556300049535
25,2026-05-19T02:06:52,Эвелина,воскок гос,0.026187552615051027,0.0031230699371537383,0.0032324848615208714,0.026460033312969148,0.002459987468781928,0.02036828823239535,0.9181685835721279
26,2026-05-19T02:06:58,Миша,9,0.024533484363863177,0.002080222226336844,0.005689912270909189,0.014811779137142721,0.001781096073896884,0.02197723422461219,0.9291262717032391
27,2026-05-19T02:06:58,Эвелина,спать будешь,0.03283247830277783,0.02439375485062415,0.04551880265524451,0.04069562348604867,0.011681315061385096,0.015696491188951674,0.829181534454968
28,2026-05-19T02:07:00,Миша,хз,0.2139020489632134,0.0022920561087088876,0.011932326722536052,0.1117151024448169,0.003917316502285267,0.25011254782136655,0.40612860143707297
29,2026-05-19T02:07:03,Миша,надеюсь,0.9561138068520747,0.01878717395588516,0.0028457471716148235,0.0022133217672982122,0.001966704843009592,0.0024573125539947113,0.015615932856122635
30,2026-05-19T02:07:05,Эвелина,бля,0.015725317867616984,0.006095690621760496,0.0527819519529679,0.7473725898012347,0.011244648835358697,0.012241084322376332,0.15453871659868476
31,2026-05-19T02:13:05,Эвелина,(если щас ваще нет времени можно не читать я просто так небольшой хихик кидаю),0.5697063797563064,0.01262005356331771,0.19512550685807403,0.068521398295749,0.003812875520432632,0.026236641855252832,0.1239771441508675
32,2026-05-19T02:13:33,Миша,нихуя он умный,0.7897259629313496,0.005943059855652067,0.0026670095216261695,0.02010914401991337,0.0007936841170303414,0.012945261461840805,0.1678158780925877
33,2026-05-19T02:13:36,Миша,agi,0.07196919432120395,0.0015423329479307473,0.003202565855568751,0.018359154860858373,0.0016029685870776506,0.026692654642342616,0.876631128785018
34,2026-05-19T02:13:40,Эвелина,дадад,0.14764941596943176,0.005713617501223078,0.003927376671705283,0.0222345516564839,0.0009049714025469691,0.013817726191656672,0.8057523406069523
35,2026-05-19T02:13:53,Миша,это гпт?,0.009786698172415348,0.004692083736745935,0.006713463566085358,0.037819427928007604,0.005302958023951097,0.5296016715460223,0.4060836970267724
36,2026-05-19T02:14:02,Эвелина,дипсик,0.007802950580525528,0.0038462446958971975,0.006646793197795101,0.023883608877768022,0.0042905259569641875,0.01654884284169016,0.9369810338493597
37,2026-05-19T02:14:06,Миша,ану,0.015875012526576863,0.0025276987784778084,0.005138201188056068,0.0485485248553539,0.0027733277237856125,0.02398215650953762,0.9011550784182122
38,2026-05-19T02:14:08,Миша,не удивлен),0.1497265306869051,0.003894026241166607,0.007876538502703001,0.01917066910174947,0.0045845608918681485,0.7556737315601295,0.05907394301547803
39,2026-05-19T02:14:19,Миша,дипсик,0.007802950580525528,0.0038462446958971975,0.006646793197795101,0.023883608877768022,0.0042905259569641875,0.01654884284169016,0.9369810338493597
40,2026-05-19T02:14:28,Эвелина,да,0.29878638996126333,0.006969097271262861,0.0029447395205878914,0.015093736963269096,0.0008046350008220113,0.01707147372912543,0.6583299275536693
41,2026-05-19T02:37:59,Миша,дикпик,0.016008534642249585,0.002735257322160715,0.00424938764896957,0.022411723052106047,0.0024350069476394955,0.010320143894611437,0.9418399464922632
42,2026-05-19T02:38:09,Миша,сука ненавижу),0.39750449755658745,0.010452249906376387,0.033444582440749,0.5008141348260285,0.00854792068989553,0.017032082062241233,0.032204532518121866
43,2026-05-19T02:38:13,Миша,нытиков,0.007267724115125825,0.0025013064744046393,0.024249007366279107,0.10725642329068998,0.01045076714109375,0.012680025580769236,0.8355947460316375
44,2026-05-19T02:38:22,Миша,которые ноют перед экзами,0.03364527128428092,0.0022355105625136815,0.018470871393084974,0.07233843671070746,0.0023421387314826302,0.019196452579498532,0.8517713187384318
45,2026-05-19T02:38:28,Миша,нахуй их всех,0.07530972874235502,0.014435485193621636,0.010840683357976893,0.48644270956427893,0.0063463828494519136,0.0073428809694645325,0.39928212932285106
46,2026-05-19T02:38:36,Эвелина,кто тебе там ноет,0.035243958546875134,0.006876934842913665,0.00953213576579486,0.07964056483502878,0.00182099939848356,0.03315614213624501,0.8337292644746589
47,2026-05-19T02:39:05,Миша,я,0.06106579649447499,0.006283698371652035,0.00475790613811329,0.014425976626640096,0.0022819611819183436,0.038236024158479744,0.8729486370287215
48,2026-05-19T02:39:06,Миша,тебе,0.06480158543543665,0.22779047588592743,0.0054895655907440995,0.03295453568142727,0.003957017720871468,0.022269647886853768,0.6427371717987393
49,2026-05-19T02:39:24,Эвелина,я тебе тоже ною перед экзами,0.22238823436577954,0.02091261890922206,0.0260655884718208,0.08980562422133133,0.0021217611811872607,0.032649806860963394,0.6060563659896956
50,2026-05-19T02:39:26,Эвелина,1-1,0.027107945347520004,0.0027152883643128743,0.0039303539400321495,0.009756953876973548,0.002049271991814207,0.013039734833428886,0.9414004516459182
51,2026-05-19T02:39:32,Миша,ну ты вуман,0.3640554869211304,0.002928498752900153,0.00818280413760557,0.14400462019174645,0.004058651849233321,0.12305375896226202,0.3537161791851221
52,2026-05-19T02:39:34,Миша,+ не ноешь,0.016868162033151606,0.009209055549074082,0.01488378955963895,0.2775193015080985,0.0033424079685032203,0.041087949505997826,0.6370893338755358
53,2026-05-19T02:39:43,Миша,+ страха нет все,0.02032382180848493,0.013532115363379057,0.024892161433710237,0.06640619983647249,0.365806436416692,0.016526713731661476,0.4925125514095997
54,2026-05-19T02:39:44,Миша,фыдвжлаофжвыдалофы,0.010862351290389287,0.002679663129871306,0.01036790622282722,0.03767595228397383,0.004006534751535331,0.01648927638196943,0.9179183159394336
55,2026-05-19T02:39:44,Эвелина,ты ахуел,0.6605437999263479,0.0072457344590455795,0.006710277158523859,0.027484264430489982,0.0033439526783882556,0.05170569606060771,0.2429662752865966
56,2026-05-19T02:39:51,Миша,ладно ладно,0.2431685800751991,0.050059588765638555,0.009250380197740523,0.11337686135680106,0.0013832841233598558,0.01683479754953003,0.5659265079317309
57,2026-05-19T02:40:03,Миша,такая волосатая нога может быть только у тестостеронового мужла,0.19598138456843534,0.005006440461074799,0.02441547187819643,0.15966499025585004,0.005117250312964605,0.028676549809497756,0.581137912713981
58,2026-05-19T02:40:22,Миша,чупа чупс,0.022894680991443914,0.0027236564230562767,0.006481038122257743,0.0277288833947238,0.01893563101494549,0.03531241693481424,0.8859236931187585
59,2026-05-19T02:40:42,Эвелина,даже не надо тут такого,0.022123537903590427,0.004638180017473603,0.02265282134389867,0.581296034261074,0.0038645234615238755,0.03281506422459352,0.33260983878784606
60,2026-05-19T02:40:45,Эвелина,этого всего вашего,0.09542032899217462,0.12276311869447099,0.005326977502831084,0.021315047700949434,0.002733132141211662,0.02692307711712279,0.7255183178512394
61,2026-05-19T02:41:38,Эвелина,так уж и быть согласна принять что ты бреешься если ты примешь что я этого не делаю,0.4683535904040408,0.1171285926952579,0.029710992119167074,0.16651150760859787,0.002474903048775207,0.026820315334201813,0.1890000987899595
62,2026-05-19T02:42:35,Эвелина,есть еще какой... вообще знал бы ты меня все эти годы в институте у тебя бы гораздо больше двух прядей волос поседело,0.5901823906927498,0.10950744773868781,0.006324042605629319,0.022980360324935105,0.0022750361614334207,0.07744211546764752,0.19128860700891712
63,2026-05-19T02:42:49,Миша,схуяли,0.0184589724990764,0.0020542019200870234,0.0383971462574892,0.08644997427381951,0.014153545301811555,0.01712158172422382,0.8233645780234925
64,2026-05-19T02:43:02,Эвелина,ты даже не представляешь как я ныла перед экзаменами,0.01942901303050827,0.0029423330080444073,0.04346685017556333,0.5080015008713773,0.007232431345132691,0.08291440962246108,0.33601346194691295
65,2026-05-19T02:43:21,Миша,ой впизду,0.024558402540159723,0.005082525154129651,0.007960572306537943,0.06529003503496744,0.010395603298881987,0.016637096558141475,0.8700757651071819
66,2026-05-19T02:43:28,Миша,не оправдывай мое нытье,0.045728977179376476,0.01903945201969675,0.06646027388530508,0.6397594501496395,0.004914930139464441,0.010157093704539332,0.21393982292197838
67,2026-05-19T02:43:33,Эвелина,ты ахуел,0.6605437999263479,0.0072457344590455795,0.006710277158523859,0.027484264430489982,0.0033439526783882556,0.05170569606060771,0.2429662752865966
68,2026-05-19T02:43:41,Эвелина,ты даже если постараешься,0.1193087280528981,0.035862863621894135,0.004813813035257933,0.02293949533438258,0.0019658898091994958,0.010918318141522377,0.8041908920048454
69,2026-05-19T02:43:41,Миша,захотел поныл,0.11620903059960619,0.008584523828224649,0.007109695606028334,0.024443933058932332,0.0020332335803128843,0.027622501106913146,0.8139970822199825
70,2026-05-19T02:43:43,Миша,захотел,0.0280083138943368,0.016152681008961434,0.006879227765435029,0.034641388745915644,0.002980026536769669,0.03981132221268122,0.8715270398359002
71,2026-05-19T02:43:46,Миша,извинился,0.010748430998656518,0.011461126742910556,0.6948076243454601,0.028357764515997815,0.014046661678006805,0.03456332973706603,0.2060150619819021
72,2026-05-19T02:43:47,Миша,все,0.05489648585381566,0.00477221511438113,0.00620314755120496,0.0203993941649067,0.001642664230751688,0.011602713250877496,0.9004833798340623
73,2026-05-19T02:43:49,Миша,.,0.022256534683617824,0.004304469713527515,0.003936478576709443,0.015204450927001584,0.0019505458866317068,0.010869662331626931,0.9414778578808849
74,2026-05-19T02:43:52,Эвелина,не сможешь придумать,0.05101318297581312,0.0073878669854826745,0.013608549210987659,0.39899363913551156,0.0024943231989863093,0.0443874781666912,0.48211496032652756
75,2026-05-19T02:44:05,Эвелина,формулировки которыми я ныла,0.02055260282692907,0.004015200778028562,0.057809150291597625,0.23265195521012771,0.004481777700054673,0.034758372935120345,0.6457309402581419
76,2026-05-19T02:44:11,Эвелина,и поднять уровень драмы,0.14543668790284495,0.00448133112729839,0.011513471715704666,0.02845761638063454,0.0029136619172217605,0.017022040668588267,0.7901751902877074
77,2026-05-19T02:44:27,Миша,потому что я тупой мэн,0.02980150887734789,0.0019180535119562392,0.03080518976174773,0.7557151513648167,0.013557776734881639,0.018179155989915853,0.150023163759334
78,2026-05-19T02:44:27,Эвелина,до той степени,0.09170146696035762,0.004561914112140872,0.006659125218963846,0.011140287249503148,0.0014739627088939595,0.022195687567336714,0.8622675561828038
79,2026-05-19T02:44:29,Миша,?,0.012901565224050619,0.00526327219022384,0.0047383857453995,0.02853032005757279,0.0043657753475970645,0.4738258956710106,0.47037478576414554
80,2026-05-19T02:44:36,Эвелина,нет,0.023863201314218718,0.0038130733497235424,0.03128983564183409,0.3919016946443533,0.003145685912391818,0.029788789723952297,0.5161977194135262
81,2026-05-19T02:44:37,Миша,опять за свое,0.033173276827325286,0.015518659623538704,0.027977375663013632,0.06555495802708607,0.004289274904060484,0.0355056137458763,0.8179808412090996
82,2026-05-19T02:44:39,Миша,понятно,0.29020891609778204,0.010242259860176166,0.005303630148472455,0.013561352795426525,0.0014150699855659092,0.19609454819787317,0.48317422291470374
83,2026-05-19T02:44:43,Миша,началось,0.06334209359989877,0.0020813982767920085,0.008198105701307558,0.013489278893233139,0.002985674364384312,0.04651595128588724,0.8633874978784969
84,2026-05-19T02:44:45,Эвелина,потому что я нытик тут самый главный,0.2620304727759546,0.005430025701052307,0.09083142546423568,0.3077744591869998,0.016870326688493975,0.022023060590930673,0.29504022959233295
85,2026-05-19T02:44:50,Эвелина,вообще то,0.05100734892668096,0.002556502096317061,0.0056005340671647,0.032325323315995955,0.001330230277147942,0.04543776116261918,0.8617423001540742
86,2026-05-19T02:44:52,Миша,хуитик,0.023640959891084775,0.002554087831867733,0.002830694533882443,0.04326118635677049,0.002609762324424449,0.01438877860389578,0.9107145304580743
87,2026-05-19T02:44:55,Миша,чет не видел,0.05405713258705795,0.002210836978368523,0.03943104852689166,0.25801444100126586,0.004471488719983391,0.12758916675285803,0.5142258854335746
88,2026-05-19T02:44:57,Миша,ладно,0.15875913432077213,0.025343372110876887,0.007738421840641902,0.09446771950600279,0.0011956201923287195,0.021129323193524396,0.6913664088358531
89,2026-05-19T02:44:59,Эвелина,тоже мне решил,0.21213722192674558,0.036497211173075396,0.007465318865183429,0.010841716447021005,0.003833576172184606,0.09147670649154145,0.6377482489242485
90,2026-05-19T02:45:13,Эвелина,мое место занять,0.187876968846901,0.05507652153934303,0.024247801102355162,0.017156866289095372,0.0027484265473672045,0.04832556562293043,0.6645678500520079
91,2026-05-19T02:45:28,Миша,спок спок,0.024207722766475197,0.006343812575060489,0.06313262203572624,0.13547813455400107,0.01240415329283242,0.007328659932548847,0.7511048948433559
92,2026-05-19T02:45:30,Эвелина,твои слова это здравая реакция на гос,0.6541158703819412,0.014428160937685742,0.004139202654175866,0.02360705361208271,0.0011276545672260717,0.013146951541180984,0.2894351063057075
93,2026-05-19T02:45:32,Миша,вумен не переныть,0.020190887914363964,0.0025126081108990564,0.037700240883376236,0.3781412620278543,0.005616061124167692,0.021707759310520238,0.5341311806288186
94,2026-05-19T02:45:39,Эвелина,😭😭😭,0.02198101464614118,0.009782790219726036,0.8999968161266995,0.017818294540103193,0.014499911328358575,0.004438858590198217,0.031482314548773406
95,2026-05-19T02:45:50,Миша,а ты вообще и рыба и мясо,0.07805355318615996,0.007073834658005545,0.0032372683811461634,0.047248121604163786,0.001707906522459089,0.03056565687471065,0.8321136587733549
96,2026-05-19T02:45:55,Миша,эта ты,0.15228828970372188,0.02098854051952937,0.002934349540139306,0.03380115763308357,0.00240307109650243,0.07650028858999192,0.7110843029170316
97,2026-05-19T02:45:59,Эвелина,catfish,0.014851407428107642,0.002874955200169459,0.0033111452920736545,0.015468010272348157,0.002873625406183657,0.01731942717089547,0.9433014292302219
98,2026-05-19T02:46:14,Эвелина,живот болит,0.026072459051471177,0.0373620153221876,0.48662515818041313,0.0947093269590364,0.017339557991155496,0.012811717412473994,0.3250797650832621
99,2026-05-19T02:46:18,Эвелина,сколько можно,0.06712258262365868,0.007834451824739738,0.004536417633955832,0.023405058540271806,0.0014031588626897437,0.16456740163938816,0.7311309288752961
100,2026-05-19T02:46:18,Миша,((((,0.007195191258958685,0.00746122538196624,0.5947298986526812,0.03489284688066068,0.026696508963921676,0.03238232614685654,0.2966420027149548
101,2026-05-19T02:46:21,Эвелина,и так ничего не ем,0.045613742147891684,0.005337226594854864,0.038770023453255295,0.3400934614796127,0.0023791193180082164,0.019627656378242667,0.5481787706281346
102,2026-05-19T02:46:25,Миша,еще 8 месяцев,0.023159340684461537,0.002863016227203836,0.010287919985923218,0.013666889213066868,0.002305851257820545,0.03207834641472856,0.9156386362167955
103,2026-05-19T02:46:38,Миша,потом сходишь покакать,0.031021817326089555,0.006895600498150588,0.005181495041592381,0.030869336498742454,0.0019737474173344436,0.03602551136122304,0.8880324918568676
104,2026-05-19T02:46:41,Миша,ребеночьком,0.014039978980123359,0.017378386504408677,0.014320870785165333,0.041167166679429705,0.004780652296317118,0.007063454634278707,0.901249490120277
105,2026-05-19T02:46:58,Эвелина,меня не мария зовут,0.01641607842030874,0.003086672083053665,0.030650155986634193,0.4143261598705887,0.005078015663343801,0.05178547889084098,0.47865743908522995
106,2026-05-19T02:47:06,Эвелина,чтобы тут непорочные зачатия случались,0.018799988601578645,0.003428757106269122,0.10815570369776571,0.10711581502403014,0.012728999325623375,0.04949299489979623,0.7002777413449368
107,2026-05-19T02:47:18,Миша,бро ты целовалась,0.602327532652635,0.043123061306437914,0.005320758084672361,0.042758643151315716,0.0020913102309168645,0.01085135472078601,0.2935273398532362
108,2026-05-19T02:47:26,Миша,ты не парадокси,0.018984644975611736,0.005305284575831906,0.016449744296356195,0.4465938723805234,0.005157023116643118,0.10558088375294722,0.4019285469020865
109,2026-05-19T02:47:29,Эвелина,дева Мария тоже,0.12775220063305667,0.006939154707595552,0.0031218227610687547,0.01813331148022224,0.000951351306148384,0.031106590559308218,0.8119955685526002
110,2026-05-19T02:47:32,Миша,нет,0.023863201314218718,0.0038130733497235424,0.03128983564183409,0.3919016946443533,0.003145685912391818,0.029788789723952297,0.5161977194135262
111,2026-05-19T02:47:33,Эвелина,да,0.29878638996126333,0.006969097271262861,0.0029447395205878914,0.015093736963269096,0.0008046350008220113,0.01707147372912543,0.6583299275536693
112,2026-05-19T02:47:36,Эвелина,у нее муж был,0.026254277588193334,0.003245517741121406,0.010244519632069096,0.030908439364844078,0.0017979482338632813,0.02949668019756694,0.8980526172423419
113,2026-05-19T02:47:36,Миша,она парадокси,0.03759053115749776,0.002135665311347575,0.016429836380669836,0.11951310746949086,0.01005221997313847,0.14459938842216408,0.6696792512856915
114,2026-05-19T02:47:41,Миша,пхпх,0.012880714750303992,0.0034724353709675105,0.006797609635013663,0.02932715147572164,0.0023232567179164473,0.008756399889533062,0.9364424321605438
115,2026-05-19T02:47:59,Эвелина,естественно она целовалась,0.2787663571561802,0.014557729508674445,0.002988424716510801,0.01807914790711711,0.0015482850552281991,0.01604726789361065,0.6680127877626786
116,2026-05-19T02:48:54,Миша,(,0.012019610597176048,0.006993911029779563,0.40612717600815895,0.044384084897470893,0.018154504968941172,0.035917555586981925,0.4764031569114913
117,2026-05-19T02:49:01,Миша,нет чел,0.021223020836464965,0.002895263155329689,0.026800650597852083,0.273638281978678,0.003283230936029481,0.021850641738911745,0.650308910756734
118,2026-05-19T02:49:03,Миша,ты бредишь,0.061680892198731754,0.002686012752595495,0.025919118339889278,0.7517369405375727,0.006583949850750086,0.023324402397219262,0.12806868392324147
